**** DÉBUT DU JOURNAL À Tue May  1 18:29:18 2007

mai 01 18:30:13 *	tiav est parti (Success)
mai 15 18:57:20 *	Vous parlez maintenant sur #debian-fr
mai 15 18:57:20 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, voyez #debianfr || Merci de parler correctement francais pas de sms, lol et autres kikoo. || Ubuntu et Debian c'est different, ne vous trompez pas de canal || Ce n'est pas l'Armee du Salut ici, avant de poser une question, CHERCHEZ UN PEU || faire chier ici ou ailleurs est un motif de ban. et un bon, en plus !
mai 15 18:57:20 *	Sujet de #debian-fr défini par Gniarf le Sat Apr 14 21:17:07 2007
mai 15 19:01:45 *	ludoRA (n=Ludovic@mut38-5-82-246-189-159.fbx.proxad.net) a quitté #debian-fr ("A bientôt!")
mai 15 19:03:23 *	JuLiiieN (n=Jul@AVelizy-152-1-15-118.w82-120.abo.wanadoo.fr) a rejoint #debian-fr
mai 15 19:04:28 *	JuLiiieN est parti (Client Quit)
mai 15 19:06:17 *	Alex (n=spaceout@64.241.37.140) a rejoint #debian-fr
mai 15 19:07:43 *	Alex est parti (Nick collision from services.)
mai 15 19:07:48 *	Alex (n=spaceout@64.241.37.140) a rejoint #debian-fr
mai 15 19:08:23 *	Alex est parti (Nick collision from services.)
mai 15 19:08:28 *	Alex (n=spaceout@64.241.37.140) a rejoint #debian-fr
mai 15 19:09:26 *	Alex est parti (Nick collision from services.)
mai 15 19:09:32 *	ale666 (n=spaceout@64.241.37.140) a rejoint #debian-fr
mai 15 19:09:55 *	ale666 est parti (Client Quit)
mai 15 19:10:04 *	ale666 (n=spaceout@64.241.37.140) a rejoint #debian-fr
mai 15 19:17:47 *	pikapika (n=pikapika@mar75-8-88-164-227-147.fbx.proxad.net) a rejoint #debian-fr
mai 15 19:18:33 *	Nanthrax (n=jb@jbonofre.net1.nerim.net) a rejoint #debian-fr
mai 15 19:19:27 <pikapika>	hello
mai 15 19:27:10 *	algot est parti ("Leaving")
mai 15 19:28:02 *	ylrahc (n=charly@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
mai 15 19:31:07 *	grirgz est parti (Connection timed out)
mai 15 19:32:59 *	Touns_AW est parti (Remote closed the connection)
mai 15 19:36:41 *	ChloeD est parti (Client Quit)
mai 15 19:36:48 *	ChloeD (n=ChloeD@chez.desoutter.org) a rejoint #debian-fr
mai 15 19:40:38 *	grirgz (n=grirgz@AMarseille-253-1-84-147.w86-200.abo.wanadoo.fr) a rejoint #debian-fr
mai 15 19:42:31 *	tiagovaz_ (n=tiagovaz@20150067069.user.veloxzone.com.br) a rejoint #debian-fr
mai 15 19:44:10 *	tiagovaz est parti (Read error: 110 (Connection timed out))
mai 15 19:51:10 *	lvh est parti ("Lost terminal")
mai 15 20:08:28 *	ChloeD est parti ("Lost terminal")
mai 15 20:11:13 *	EtAlors (n=bad@gob75-7-82-247-115-200.fbx.proxad.net) a rejoint #debian-fr
mai 15 20:11:57 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
mai 15 20:12:21 <TrueDD>	Salut à tous
mai 15 20:14:14 *	neo_phryte est parti ("Quitte")
mai 15 20:15:20 *	lambda] est parti (Read error: 110 (Connection timed out))
mai 15 20:15:34 *	Bertrand-` (n=bertrand@i03m-87-89-118-251.d4.club-internet.fr) a rejoint #debian-fr
mai 15 20:15:49 *	girafe (n=girafe@ip-202.net-81-220-158.grenoble.rev.numericable.fr) a rejoint #debian-fr
mai 15 20:16:10 *	lambda] (i=seb@84.4.133.56) a rejoint #debian-fr
mai 15 20:16:35 *	Bertrand- est parti (Read error: 113 (No route to host))
mai 15 20:39:14 *	JuLiiieN (n=Jul@AVelizy-152-1-15-118.w82-120.abo.wanadoo.fr) a rejoint #debian-fr
mai 15 20:40:01 *	ChloeD (n=ChloeD@chez.desoutter.org) a rejoint #debian-fr
mai 15 20:42:17 *	JuLiiieN est parti (Client Quit)
mai 15 20:44:12 *	algot (n=algot@201-35-211-116.jvece7008.dsl.brasiltelecom.net.br) a rejoint #debian-fr
mai 15 20:49:51 *	Nanthrax est parti ("WeeChat 0.1.8")
mai 15 20:50:46 *	Clef- (n=Clef@rob92-2-82-66-38-62.fbx.proxad.net) a rejoint #debian-fr
mai 15 20:50:58 <Clef->	Bonsoir
mai 15 20:51:29 *	charly_ (n=charly@fny94-1-82-67-168-149.fbx.proxad.net) a rejoint #debian-fr
mai 15 20:54:30 *	julien12 (n=julien@AToulouse-151-1-110-92.w83-193.abo.wanadoo.fr) a rejoint #debian-fr
mai 15 20:54:37 *	silensius (n=silensiu@5.19-240-81.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 15 20:56:23 *	cqst (n=unix@ras75-4-82-229-152-200.fbx.proxad.net) a rejoint #debian-fr
mai 15 20:57:10 *	Bertrand-` est parti (Read error: 104 (Connection reset by peer))
mai 15 20:57:28 *	Bertrand- (n=bertrand@i03m-87-89-118-251.d4.club-internet.fr) a rejoint #debian-fr
mai 15 21:00:05 *	ChloeD est parti (Client Quit)
mai 15 21:00:19 *	UnMus (n=domi@84.6.240.50) a rejoint #debian-fr
mai 15 21:00:23 *	ChloeD (n=ChloeD@chez.desoutter.org) a rejoint #debian-fr
mai 15 21:02:36 <UnMus>	Bonsoir
mai 15 21:04:55 *	ylrahc est parti (Read error: 110 (Connection timed out))
mai 15 21:06:50 *	julien12 est parti ("Quitte")
mai 15 21:08:15 *	ChloeD est parti (Client Quit)
mai 15 21:08:27 *	ChloeD (n=ChloeD@chez.desoutter.org) a rejoint #debian-fr
mai 15 21:11:24 *	silensius est parti (Remote closed the connection)
mai 15 21:12:26 *	silensius (n=silensiu@5.19-240-81.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 15 21:12:51 *	silensius est parti (Remote closed the connection)
mai 15 21:13:24 *	emor3j est parti (Remote closed the connection)
mai 15 21:14:10 *	lambda] est parti (Remote closed the connection)
mai 15 21:14:26 *	tiagovaz_ est parti (Read error: 110 (Connection timed out))
mai 15 21:15:05 *	tiagovaz_ (n=tiagovaz@20150113014.user.veloxzone.com.br) a rejoint #debian-fr
mai 15 21:15:26 *	GniarfBis (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
mai 15 21:15:36 *	silensius (n=silensiu@5.19-240-81.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 15 21:17:03 *	silensius est parti (Client Quit)
mai 15 21:18:44 *	Gniarf est parti (Nick collision from services.)
mai 15 21:18:50 *	GniarfBis s'appelle maintenant Gniarf
mai 15 21:32:44 *	jnjb (n=nico@dyn-83-153-86-57.ppp.tiscali.fr) a rejoint #debian-fr
mai 15 21:35:44 *	silensius (n=silensiu@5.19-240-81.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 15 21:36:04 <jnjb>	salut
mai 15 21:46:00 *	algot est parti ("Leaving")
mai 15 21:52:01 *	Touns_AW (n=plop@lns-bzn-27-82-248-15-190.adsl.proxad.net) a rejoint #debian-fr
mai 15 22:01:29 *	jnjb est parti (Remote closed the connection)
mai 15 22:02:09 *	jnjb (n=nico@dyn-83-153-86-57.ppp.tiscali.fr) a rejoint #debian-fr
mai 15 22:08:27 *	iip2 (n=iip2@bugness.org) a rejoint #debian-fr
mai 15 22:11:57 *	jnjb_ (n=nico@dyn-83-157-51-209.ppp.tiscali.fr) a rejoint #debian-fr
mai 15 22:14:43 *	zol_ est parti (Read error: 60 (Operation timed out))
mai 15 22:20:26 *	krionux (n=seb@86.67.10.63) a rejoint #debian-fr
mai 15 22:22:31 *	jnjb est parti (Read error: 110 (Connection timed out))
mai 15 22:23:28 *	jnjb_ s'appelle maintenant jnjb
mai 15 22:26:14 *	adil2007 (n=adil2007@bon31-6-88-161-96-192.fbx.proxad.net) a rejoint #debian-fr
mai 15 22:39:17 *	Sano (n=sano@mol92-4-82-227-96-95.fbx.proxad.net) a rejoint #debian-fr
mai 15 22:39:29 *	fosco est parti ("leaving")
mai 15 22:39:45 *	fosco (i=fosco@konoha.devnullteam.org) a rejoint #debian-fr
mai 15 22:41:29 *	krionux_ est parti (Read error: 110 (Connection timed out))
mai 15 22:42:18 *	jnjb est parti (Remote closed the connection)
mai 15 22:42:22 *	silensius est parti (Remote closed the connection)
mai 15 22:42:58 *	jnjb (n=nico@dyn-83-157-51-209.ppp.tiscali.fr) a rejoint #debian-fr
mai 15 22:51:13 <mickey08>	hop
mai 15 22:51:14 *	jnjb est parti (Remote closed the connection)
mai 15 22:51:14 *	mickey08 est parti ("Yeahhhhhhhhhhhhh JAMAIS")
mai 15 22:51:54 *	jnjb (n=nico@dyn-83-157-51-209.ppp.tiscali.fr) a rejoint #debian-fr
mai 15 22:52:03 *	Viriate (n=michel@d213-103-17-101.cust.tele2.fr) a rejoint #debian-fr
mai 15 22:55:12 *	JuLiiieN (n=Jul@AVelizy-152-1-65-223.w83-204.abo.wanadoo.fr) a rejoint #debian-fr
mai 15 22:57:22 *	jnjb est parti ("WeeChat 0.2.5-cvs")
mai 15 22:57:50 *	Yoda-BZH est parti ("http://blog.yoda-bzh.net - Un message qu'on pense pas à vérifier souvent ...")
mai 15 22:57:52 *	krionux_ (n=seb@86.67.10.74) a rejoint #debian-fr
mai 15 22:58:10 *	iip2 est parti ("quit")
**** FIN DU JOURNAL À Tue May 15 22:58:27 2007

**** DÉBUT DU JOURNAL À Thu May 17 14:47:56 2007

mai 17 14:47:56 *	Vous parlez maintenant sur #debian-fr
mai 17 14:47:56 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, voyez #debianfr || Merci de parler correctement francais pas de sms, lol et autres kikoo. || Ubuntu et Debian c'est different, ne vous trompez pas de canal || Ce n'est pas l'Armee du Salut ici, avant de poser une question, CHERCHEZ UN PEU || faire chier ici ou ailleurs est un motif de ban. et un bon, en plus !
mai 17 14:47:56 *	Sujet de #debian-fr défini par Gniarf le Sat Apr 14 21:17:07 2007
mai 17 14:48:22 *	Niluje- (n=Niluje@89.156.171.123) a rejoint #debian-fr
mai 17 14:48:25 <Niluje->	bonjour =)
mai 17 14:50:17 <Niluje->	qqn peut m'aider avec vsftpd ?
mai 17 14:50:41 *	Subdino (n=vincent@196.207.228.2) a rejoint #debian-fr
mai 17 15:02:07 <Niluje->	??
mai 17 15:02:07 <kikoolol>	? : |
mai 17 15:04:09 *	sputnick est parti (Remote closed the connection)
mai 17 15:04:24 *	sputnick (n=sputnick@unaffiliated/sputnick) a rejoint #debian-fr
mai 17 15:06:51 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
mai 17 15:07:21 *	Saelynh est parti (Remote closed the connection)
mai 17 15:11:13 *	JuLiiieN est parti ("Quitte")
mai 17 15:12:07 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
mai 17 15:13:25 *	Niluje- (n=Niluje@89.156.171.123) a quitté #debian-fr
mai 17 15:16:34 *	Subdino est parti ("leaving")
mai 17 15:29:04 *	ludoRA (n=Ludovic@65.10.101-84.rev.gaoland.net) a rejoint #debian-fr
mai 17 15:32:15 *	LXS est parti (Remote closed the connection)
mai 17 15:36:39 *	tiagovaz est parti (Remote closed the connection)
mai 17 15:45:16 *	tiagovaz (n=tiagovaz@20150113014.user.veloxzone.com.br) a rejoint #debian-fr
mai 17 15:51:08 *	julius est parti ("Quitte")
mai 17 16:11:21 *	JuLiiieN (n=Jul@AVelizy-152-1-29-189.w82-120.abo.wanadoo.fr) a rejoint #debian-fr
mai 17 16:15:15 *	iip2 (n=iip2@bugness.org) a rejoint #debian-fr
mai 17 16:18:53 *	ludoRA (n=Ludovic@65.10.101-84.rev.gaoland.net) a quitté #debian-fr ("A bientôt!")
mai 17 16:19:37 *	silensius (n=silensiu@43.125-200-80.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 17 16:20:46 *	fridim (n=fridim@58-74-118-80.kaptech.net) a rejoint #debian-fr
mai 17 16:22:43 <krionux>	I'm back !
mai 17 16:23:26 *	Bl0tz4 est parti ("Parti")
mai 17 16:28:36 *	krionux est parti ("brb")
mai 17 16:29:15 *	silensius_ (n=silensiu@37.190-243-81.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 17 16:31:19 *	silensius_ est parti (Read error: 104 (Connection reset by peer))
mai 17 16:32:41 *	silensius_ (n=silensiu@191.71-136-217.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 17 16:33:53 *	hellwolf est parti ("Leaving")
mai 17 16:39:27 *	hellwolf (n=hellwolf@121.229.6.126) a rejoint #debian-fr
mai 17 16:42:13 *	hellwolf est parti (Client Quit)
mai 17 16:45:23 *	silensius est parti (Read error: 110 (Connection timed out))
mai 17 16:51:14 *	yoan (n=yoan@lns-bzn-56-82-255-196-240.adsl.proxad.net) a rejoint #debian-fr
mai 17 16:52:05 *	krionux (n=seb@86.67.10.153) a rejoint #debian-fr
mai 17 16:58:33 *	yoan est parti ()
mai 17 17:08:58 *	julius (n=julius@user-85-201-1-232.tvcablenet.be) a rejoint #debian-fr
mai 17 17:09:03 *	Saelynh est parti ("http://saelynh.hautetfort.com/")
mai 17 17:10:20 *	zgrirg est parti ("adieu")
mai 17 17:21:11 *	tiagovaz est parti ("Saindo")
mai 17 17:22:09 *	galahaad (n=chevalie@76.6-65-87.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 17 17:24:04 *	neo_phryte est parti (Read error: 110 (Connection timed out))
mai 17 17:27:26 *	algot (n=algot@201-35-211-116.jvece7008.dsl.brasiltelecom.net.br) a rejoint #debian-fr
mai 17 17:32:07 *	ludoRA (n=Ludovic@65.10.101-84.rev.gaoland.net) a rejoint #debian-fr
mai 17 17:34:03 *	davidbreizh (n=davidbre@ARennes-252-1-85-100.w86-203.abo.wanadoo.fr) a rejoint #debian-fr
mai 17 17:34:53 *	davidbreizh (n=davidbre@ARennes-252-1-85-100.w86-203.abo.wanadoo.fr) a quitté #debian-fr
mai 17 17:41:00 *	julius est parti (Read error: 104 (Connection reset by peer))
mai 17 17:41:02 *	toffmini (n=kristoff@tss37-1-82-233-146-166.fbx.proxad.net) a rejoint #debian-fr
mai 17 17:44:38 *	Pwwwet (n=pwet_pwe@lau18-1-82-246-199-162.fbx.proxad.net) a rejoint #debian-fr
mai 17 17:47:24 *	kinker3 (n=olilo@lns-bzn-28-82-250-177-253.adsl.proxad.net) a rejoint #debian-fr
mai 17 17:47:31 *	kinker3 (n=olilo@lns-bzn-28-82-250-177-253.adsl.proxad.net) a quitté #debian-fr ("Leaving")
mai 17 17:49:40 *	tamiel est parti ("Quitte")
mai 17 17:58:47 *	Gniarf est parti ("Argue with idiots, and you become an idiot.")
mai 17 18:00:17 *	Gniarf (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
mai 17 18:00:26 *	lambda] (i=seb@88-137-46-211.adslgp.cegetel.net) a rejoint #debian-fr
mai 17 18:04:14 *	iip2 est parti ("quit")
mai 17 18:12:11 *	keul1 (n=cray@AMontpellier-152-1-38-214.w81-251.abo.wanadoo.fr) a rejoint #debian-fr
mai 17 18:15:20 *	krionux est parti ("brb")
**** FIN DU JOURNAL À Thu May 17 18:19:17 2007

**** DÉBUT DU JOURNAL À Sun May 20 13:44:56 2007

mai 20 13:44:56 *	Vous parlez maintenant sur #debian-fr
mai 20 13:44:56 *	Le sujet de #debian-fr est : Ce chan n'est pas un channel de support, voyez #debianfr || Merci de parler correctement francais pas de sms, lol et autres kikoo. || Ubuntu et Debian c'est different, ne vous trompez pas de canal || Ce n'est pas l'Armee du Salut ici, avant de poser une question, CHERCHEZ UN PEU || faire chier ici ou ailleurs est un motif de ban. et un bon, en plus !
mai 20 13:44:56 *	Sujet de #debian-fr défini par Gniarf le Sat Apr 14 21:17:07 2007
mai 20 13:44:57 *	#debian-fr :[freenode-info] channel flooding and no channel staff around to help? please check with freenode support: http://freenode.net/faq.shtml#gettinghelp
mai 20 13:45:44 <hardcoffee>	salut a tous
mai 20 13:46:19 <hardcoffee>	ya t il un codecs qui me permettrai de lire les video SWF sur le net ?
mai 20 13:46:59 <hardcoffee>	j ai trouveer ca =>> http://livedocs.adobe.com/flash/8/main/wwhelp/wwhimpl/common/html/wwhelp.htm?context=LiveDocs_Parts&file=00002225.html
mai 20 13:47:09 <hardcoffee>	es que quelqu un a deja tenter
mai 20 14:04:48 *	hardcoffee est parti ("Parti")
mai 20 14:05:52 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
mai 20 14:05:52 *	Oxylin (n=jpeeters@chv78-2-88-161-189-78.fbx.proxad.net) a rejoint #debian-fr
mai 20 14:06:08 <TrueDD>	Salut à tous
mai 20 14:06:30 *	Oxylin est parti (Read error: 104 (Connection reset by peer))
mai 20 14:09:55 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
mai 20 14:10:23 *	pcarter_ est parti ("Lost terminal")
mai 20 14:13:14 *	CleeK est parti (Read error: 113 (No route to host))
mai 20 14:31:51 *	Pinkilla est parti (Excess Flood)
mai 20 14:32:13 *	Pinkilla (n=Pinkilla@166.65-244-81.adsl-dyn.isp.belgacom.be) a rejoint #debian-fr
mai 20 14:34:58 *	LXS (i=lxs@mne69-8-82-247-37-105.fbx.proxad.net) a rejoint #debian-fr
mai 20 14:48:53 <krionux>	je suis repus
mai 20 14:51:39 <ptitlouis>	osef
mai 20 14:52:14 <krionux>	y a de quoi
mai 20 14:56:24 *	Pwwwet (n=pwet_pwe@lau18-1-82-246-199-162.fbx.proxad.net) a rejoint #debian-fr
mai 20 14:56:29 <Pwwwet>	Bonjour
mai 20 14:57:47 <Pwwwet>	j'ai un petit problème. je n'arrive pas à récupérer la clé publique de kernel.org
mai 20 14:58:05 <Pwwwet>	j'ai le droit à un super : gpg: keyserver timed out
mai 20 14:58:28 *	gnuk est parti ("kill -9 $$")
mai 20 14:59:09 <Pwwwet>	quelqu'un sait pourquoi svp ?
mai 20 14:59:20 *	albatros est parti (Read error: 104 (Connection reset by peer))
mai 20 15:02:48 <fridim>	Pwwwet, parce que le serveur a mis trop de temps à répondre
mai 20 15:03:24 <fridim>	(serveur trop occupé, ou down, ou mauvaise addresse.........)
mai 20 15:04:24 <Pwwwet>	fridim : j'ai mis : gpg --keyserver wwwkeys.pgp.net --recv-keys 0x517D0F0E
mai 20 15:04:39 <Pwwwet>	j'ai déjà essayé hier, mais j'avais le même problème
mai 20 15:04:40 <fridim>	j'utilise seahorse. C'est un frontend graphique à gpg. Pour KDE y a aussi kpgp (ou kgpg sais plus)
mai 20 15:04:46 *	Subdino est parti (Read error: 113 (No route to host))
mai 20 15:05:11 <fridim>	Le frontend a toute une liste de serveur, donc y a des chances pour que ça marche mieux.
mai 20 15:05:24 <Pwwwet>	Ok, je vais tester. Je te remercie
mai 20 15:17:00 <Pwwwet>	C'est bon, ça raoul bien ^^
mai 20 15:17:04 <Pwwwet>	Merci.
mai 20 15:19:38 *	Yoda-BZH (i=yoda@elonia.yoda-bzh.net) a rejoint #debian-fr
mai 20 15:23:12 *	nitrax (n=nitrax@ALille-151-1-22-35.w82-127.abo.wanadoo.fr) a rejoint #debian-fr
mai 20 15:23:34 <nitrax>	bonjour tout le monde
mai 20 15:23:59 <nitrax>	quelqu'un connais engage ?
mai 20 15:30:45 <ptitlouis>	non
mai 20 15:38:17 *	emor3j (n=emor3j@APoitiers-153-1-2-69.w83-193.abo.wanadoo.fr) a rejoint #debian-fr
mai 20 15:38:29 <emor3j>	Salut
mai 20 15:43:53 *	Pwwwet est parti (Remote closed the connection)
mai 20 15:45:17 *	Sparda est parti (Read error: 60 (Operation timed out))
mai 20 15:46:17 *	Julia41 (i=Julia@pat86-1-82-239-189-48.fbx.proxad.net) a rejoint #debian-fr
mai 20 15:53:10 *	hellwolf est parti ("Leaving")
mai 20 15:53:50 *	nitrax est parti (Remote closed the connection)
mai 20 15:55:20 *	gillesMo (n=gilles@gmocellin.dyndns.org) a rejoint #debian-fr
mai 20 15:59:29 *	girafe est parti (Read error: 104 (Connection reset by peer))
mai 20 16:00:55 *	IzuliuM est parti (Read error: 60 (Operation timed out))
mai 20 16:07:31 *	IzuliuM (n=IzuliuM@lns-bzn-50f-81-56-152-20.adsl.proxad.net) a rejoint #debian-fr
mai 20 16:10:46 *	florent (n=florent@pluton.sarcelle.net) a rejoint #debian-fr
mai 20 16:12:15 *	Julia41 est parti ("Team TroOlls oN Fire - http://www.troolls.fr/")
mai 20 16:15:26 *	goldyfruit est parti (Remote closed the connection)
mai 20 16:17:23 *	Julia41 (i=Julia@pat86-1-82-239-189-48.fbx.proxad.net) a rejoint #debian-fr
mai 20 16:32:46 *	toffmini est parti (Read error: 110 (Connection timed out))
mai 20 16:32:51 *	goldyfruit (n=cartman@goldzoneweb.info) a rejoint #debian-fr
mai 20 16:43:18 *	CleeK (n=CleeK@bwah.nogoa.org) a rejoint #debian-fr
mai 20 16:51:28 *	Saelynh est parti (Remote closed the connection)
mai 20 16:53:16 *	Saelynh (n=saelynh@cha92-11-82-243-247-67.fbx.proxad.net) a rejoint #debian-fr
mai 20 16:57:41 *	Yoda-BZH est parti ("http://blog.yoda-bzh.net - Un message qu'on pense pas à vérifier souvent ...")
mai 20 16:58:54 *	Shisui est parti ("Quitte")
mai 20 17:00:28 *	algot (n=algot@189.11.165.112) a rejoint #debian-fr
mai 20 17:03:18 *	Orion_Normandy (n=titan@86.68.249.80) a rejoint #debian-fr
mai 20 17:03:37 <Orion_Normandy>	Bonjour
mai 20 17:04:33 <Orion_Normandy>	rythmbox ne fonctionne plus chez moi (sous sid), avez-vous le meme problème ?
mai 20 17:07:20 *	algot est parti ("Leaving")
mai 20 17:09:41 *	CleeK est parti (Remote closed the connection)
mai 20 17:10:23 *	CleeK (n=CleeK@bwah.nogoa.org) a rejoint #debian-fr
mai 20 17:11:32 *	Orion_Normandy est parti (Read error: 104 (Connection reset by peer))
mai 20 17:11:34 *	florent est parti (Remote closed the connection)
mai 20 17:13:33 *	florent (n=florent@pluton.sarcelle.net) a rejoint #debian-fr
mai 20 17:21:41 *	emor3j est parti (Remote closed the connection)
mai 20 17:33:25 *	sputnick (n=sputnick@unaffiliated/sputnick) a rejoint #debian-fr
mai 20 17:48:02 *	Julia41 est parti ("Team TroOlls oN Fire - http://www.troolls.fr/")
mai 20 17:55:43 *	Julia41 (i=Julia@pat86-1-82-239-189-48.fbx.proxad.net) a rejoint #debian-fr
mai 20 18:02:06 *	keulin est parti ("Quitte")
mai 20 18:02:46 *	keulin (n=cray@AMontpellier-152-1-90-37.w86-206.abo.wanadoo.fr) a rejoint #debian-fr
mai 20 18:06:08 *	Julia41 est parti ("Team TroOlls oN Fire - http://www.troolls.fr/")
mai 20 18:06:19 *	Julia41 (i=Julia@pat86-1-82-239-189-48.fbx.proxad.net) a rejoint #debian-fr
mai 20 18:08:27 *	girafe (n=girafe@ip-202.net-81-220-158.grenoble.rev.numericable.fr) a rejoint #debian-fr
mai 20 18:13:11 *	keul1 (n=cray@AMontpellier-152-1-20-28.w81-251.abo.wanadoo.fr) a rejoint #debian-fr
mai 20 18:28:48 *	keulin est parti (Read error: 110 (Connection timed out))
mai 20 18:36:09 *	gillesMo est parti (Read error: 54 (Connection reset by peer))
mai 20 18:36:26 *	davi est parti (Read error: 110 (Connection timed out))
mai 20 18:51:41 *	CleeK est parti (Read error: 104 (Connection reset by peer))
mai 20 18:53:04 *	CleeK (n=CleeK@bwah.nogoa.org) a rejoint #debian-fr
mai 20 18:59:33 *	Subdino (n=vincent@213.154.88.190) a rejoint #debian-fr
mai 20 19:06:26 *	hardcoffee (n=hardcoff@APoitiers-157-1-168-205.w86-213.abo.wanadoo.fr) a rejoint #debian-fr
mai 20 19:07:32 *	Ron56 (n=ron-56@ARennes-257-1-64-5.w81-53.abo.wanadoo.fr) a rejoint #debian-fr
mai 20 19:10:49 *	Ron56 (n=ron-56@ARennes-257-1-64-5.w81-53.abo.wanadoo.fr) a quitté #debian-fr
mai 20 19:30:58 *	Yoda-BZH (i=yoda@elonia.yoda-bzh.net) a rejoint #debian-fr
mai 20 19:38:11 *	keikoz (n=keikoz@pha75-12-82-245-84-46.fbx.proxad.net) a rejoint #debian-fr
mai 20 19:41:24 *	TrueDD est parti (Remote closed the connection)
mai 20 19:42:57 *	TrueDD (n=dsimon@dan75-2-82-67-149-198.fbx.proxad.net) a rejoint #debian-fr
mai 20 19:47:20 *	hardcoffee est parti ("Parti")
mai 20 19:55:10 *	Gniarf (i=gniarf@gniarf.net1.nerim.net) a rejoint #debian-fr
mai 20 19:58:32 *	yoan (n=yoan@AClermont-Ferrand-157-1-74-117.w86-202.abo.wanadoo.fr) a rejoint #debian-fr
